sequence_name,scene
P0001_10a27bf7,room
P0001_15c4300c,kitchen
P0001_23fa0ee8,office
P0001_4bf4e21a,room
P0001_550ea2ac,room
P0001_624f2ba9,kitchen
P0001_83b755aa,room
P0001_8d136980,room
P0001_95eabc0a,kitchen
P0001_9b6feab7,office
P0001_9c030609,room
P0001_a68492d5,kitchen
P0001_a9d6c83d,room
P0001_b2bcbe28,room
P0001_f6cc0cc8,office
P0001_f71fc9b1,room
P0002_016222d1,kitchen
P0002_2ea9af5b,kitchen
P0002_59a84a3a,kitchen
P0002_65085bfc,kitchen
P0002_c68438ce,kitchen
P0003_1fa0bb65,room
P0003_5766eae8,kitchen
P0003_743d3087,office
P0003_c701bd11,office
P0003_cbd17f20,kitchen
P0003_e3a74169,kitchen
P0003_ebdc6ff7,kitchen
P0003_f4730606,kitchen
P0009_02511c2f,room
P0009_0e02bf39,kitchen
P0009_1b21bb01,kitchen
P0009_247b5403,kitchen
P0009_24af5475,room
P0009_37e30628,office
P0009_5bb7cc2a,room
P0009_5f2583e0,room
P0009_88a58b3b,room
P0009_8c0caf6c,kitchen
P0009_8c95667c,room
P0009_911a4ba5,room
P0009_927973d7,office
P0009_9e03121a,kitchen
P0009_b1e71d7f,room
P0009_b7d8c222,kitchen
P0009_cf323827,room
P0009_e27ad19f,room
P0009_e71e2f24,kitchen
P0009_ea91844d,office
P0010_0ecbf39f,kitchen
P0010_1573a837,office
P0010_160e551c,room
P0010_1c9fe708,kitchen
P0010_41c4c626,kitchen
P0010_573b2de6,office
P0010_6d15aa57,room
P0010_8ff3e5c4,room
P0010_924e574e,kitchen
P0010_99385ad8,room
P0010_b152143e,office
P0010_e481fd15,room
P0010_fd1891a8,room
P0011_0c2d00ed,kitchen
P0011_11475e24,kitchen
P0011_2255f410,kitchen
P0011_30a5b61d,room
P0011_451a7734,room
P0011_47878e48,office
P0011_4dcdcfec,office
P0011_72efb935,kitchen
P0011_76ea6d47,kitchen
P0011_7a8886e7,room
P0011_7c7e8d86,room
P0011_a497658f,office
P0011_ad5f7dee,room
P0011_b0c895c1,kitchen
P0011_ccc678c7,room
P0011_cd22f5e0,kitchen
P0011_cee8fe4f,room
P0011_d0f907a0,office
P0011_dbf1ebb7,room
P0011_e5cb6a80,kitchen
P0011_ff7cfc3a,kitchen
P0012_0323d770,room
P0012_0a21e4c2,room
P0012_119de519,room
P0012_130a66e1,office
P0012_1c45bbd9,office
P0012_44c5f677,kitchen
P0012_476bae57,kitchen
P0012_6e4f7815,office
P0012_73e66984,room
P0012_915e71c6,office
P0012_af3dab9a,room
P0012_b8fc4c1b,kitchen
P0012_c06d939b,kitchen
P0012_c4353c31,room
P0012_ca1f6626,room
P0012_d6272ce1,office
P0012_d85e10f6,kitchen
P0012_db543fe8,kitchen
P0012_e846d3cc,kitchen
P0012_e97d31b6,kitchen
P0012_f1a33781,room
P0012_f7e3880b,room
P0014_0de48e2c,room
P0014_1fdca00e,office
P0014_24cb3bf0,kitchen
P0014_65c6a968,office
P0014_6db96fd0,kitchen
P0014_8254f925,kitchen
P0014_84ea2dcc,kitchen
P0014_9a25ec6a,office
P0014_9b7a0725,room
P0014_e40eec5d,kitchen
P0014_f7ba43e0,room
P0015_179e1b84,kitchen
P0015_1eb4f17f,kitchen
P0015_367cc58d,room
P0015_3a9bb2ae,room
P0015_3c7f5241,room
P0015_3f46732d,room
P0015_42b8b389,room
P0015_4e5d1c14,room
P0015_53358a64,office
P0015_60573a3b,kitchen
P0015_745920f0,kitchen
P0015_7e95628d,room
P0015_7fc6548d,kitchen
P0015_b0c5102b,room
P0015_c3e1f590,kitchen
P0015_cc5dfd13,room
P0015_cc739faa,room
P0015_dbe00981,room
P0015_e3f96b3f,office
P0015_e7458eb3,office
