object_uid,object_name,bbx_x_min,bbx_x_max,bbx_y_min,bbx_y_max,bbx_z_min,bbx_z_max
106434519822892,bottle_bbq,-0.023,0.021,0,0.145,-0.02,0.04
106957734975303,puzzle_toy,-0.039,0.019,0,0.058,-0.031,0.027
111305855142671,aria_small,-0.073,0.073,-0.03,0.015,-0.141,0.023
117658302265452,mug_patterned,-0.052,0.045,0,0.084,-0.07,0.06
125863066770940,carton_milk,-0.039,0.033,0,0.192,-0.04,0.04
143541090750632,holder_gray,-0.035,0.051,0,0.124,-0.04,0.03
163340972252026,vase,-0.084,0.052,0,0.168,-0.052,0.048
171735388712249,can_parmesan,-0.031,0.035,0,0.102,-0.04,0.03
183136364331389,can_tomato_sauce,-0.034,0.036,0,0.082,-0.036,0.03
194930206998778,bowl,-0.139,0.141,0,0.13,-0.14,0.14
195041665639898,birdhouse_toy,-0.102,0.078,0,0.233,-0.09,0.091
204462113746498,carton_oj,-0.032,0.043,0,0.192,-0.033,0.041
208243983021975,dino_toy,-0.147,0.092,0,0.135,-0.08,0.06
223371871635142,mug_white,-0.068,0.049,0,0.091,-0.04,0.05
225397651484143,spoon_wooden,-0.034,0.034,0,0.018,-0.155,0.155
228358276546933,coffee_pot,-0.066,0.08,0,0.151,-0.043,0.042
232501673989606,holder_black,-0.022,0.04,0,0.111,-0.046,0.045
238686662724712,whiteboard_marker,-0.01,0.009,0,0.121,-0.009,0.011
248247003992116,plate_bamboo,-0.163,0.138,0,0.047,-0.17,0.132
249541253457812,dvd_remote,-0.018,0.017,-0.082,0.082,0.012,0.038
253405647833885,food_waffles,-0.048,0.022,0,0.021,-0.062,0.068
258906041248094,whiteboard_eraser,-0.043,0.024,0,0.037,-0.074,0.074
261746112525368,bottle_mustard,-0.03,0.018,0,0.149,-0.032,0.033
265826671143948,mouse,-0.036,0.034,-0.021,0.021,-0.056,0.054
270231216246839,spatula_red,-0.154,0.149,0,0.042,-0.114,0.097
27078911029651,dumbbell_5lb,-0.042,0.042,-0.09,0.09,-0.037,0.037
37787722328019,keyboard,-0.215,0.215,-0.018,0.002,-0.063,0.066
4111539686391,flask,-0.051,0.069,0,0.301,-0.104,0.056
5462893327580,cellphone,-0.037,0.036,-0.006,0.005,-0.077,0.077
70709727230291,bottle_ranch,-0.023,0.021,0,0.147,-0.034,0.03
79582884925181,potato_masher,-0.06,0.03,0,0.283,-0.047,0.043
96945373046044,food_vegetables,-0.045,0.023,0,0.02,-0.049,0.048
98604936546412,can_soup,-0.033,0.038,0,0.082,-0.035,0.031
